environment,activity,direct_precision_baseline,direct_recall_baseline,direct_f1_baseline,slot_precision_baseline,slot_recall_baseline,slot_f1_baseline,support_baseline,direct_mean_probability_baseline,slot_mean_probability_baseline,direct_precision_strict_lejepa,direct_recall_strict_lejepa,direct_f1_strict_lejepa,slot_precision_strict_lejepa,slot_recall_strict_lejepa,slot_f1_strict_lejepa,support_strict_lejepa,direct_mean_probability_strict_lejepa,slot_mean_probability_strict_lejepa,direct_precision_delta,direct_recall_delta,direct_f1_delta,slot_precision_delta,slot_recall_delta,slot_f1_delta
empty_room,pick_up,72.32843841040562,77.87878787878788,74.563773229426,63.11759912293464,73.63636363636364,67.7958092241766,66.0,0.26554096937179567,0.3109885036945343,65.01175914256083,80.9090909090909,72.04274871269945,59.076970356714206,82.42424242424242,68.68469460434848,66.0,0.29052377939224244,0.3339241027832031,-7.3166792678447905,3.030303030303031,-2.5210245167265555,-4.040628766220436,8.787878787878782,0.8888853801718852
empty_room,rotation,69.48163647342994,73.47826086956522,70.30452763692594,68.36242577541913,77.17391304347827,71.55726559410566,92.0,0.32346129715442656,0.3402353644371033,69.66692644587383,77.3913043478261,73.21910628113925,68.23750734471008,81.52173913043478,74.2441495703877,92.0,0.3230788171291351,0.34780892729759216,0.1852899724438828,3.9130434782608745,2.9145786442133073,-0.12491843070904451,4.347826086956516,2.686883976282047
empty_room,sit_down,62.095314705397776,76.88311688311688,68.55622449416616,62.05683187431612,74.54545454545455,67.60212338241436,77.0,0.3140158772468567,0.3268383860588074,61.22583252953083,83.89610389610388,70.72218632872622,58.58702805882059,85.71428571428571,69.548378566592,77.0,0.33724685907363894,0.36041772961616514,-0.8694821758669491,7.012987012986997,2.165961834560065,-3.469803815495524,11.168831168831161,1.9462551841776445
empty_room,stand_up,70.75630020015076,59.55056179775281,63.582604231842005,71.92559882242742,55.95505617977528,61.581809976363544,89.0,0.26316075921058657,0.27373272478580474,66.31374974232116,71.68539325842696,68.81877550986556,62.580017287443034,70.3370786516854,66.15440976369784,89.0,0.32311474084854125,0.3384159028530121,-4.442550457829597,12.134831460674143,5.236171278023555,-9.345581534984383,14.382022471910119,4.572599787334298
empty_room,walk,92.43379370129676,99.36842105263159,95.70250212746683,93.25494739438311,96.63157894736841,94.8374666315818,95.0,0.30160127878189086,0.2981416642665863,93.61350708600273,98.52631578947368,95.99632994538628,94.11683191795237,94.73684210526315,94.25717526954499,95.0,0.2891092896461487,0.28726659417152406,1.1797133847059627,-0.8421052631579045,0.2938278179194498,0.8618845235692589,-1.8947368421052602,-0.5802913620368173
empty_room,wave,70.30413614765212,75.11627906976744,70.82460763477397,68.44954316470249,67.90697674418604,67.19306214884705,86.0,0.31474803388118744,0.322081583738327,70.40431441685783,79.76744186046513,74.32470190374637,67.75466747314972,78.83720930232559,72.72370902113865,86.0,0.33171966671943665,0.3436349093914032,0.10017826920571338,4.651162790697683,3.500094268972404,-0.6948756915527667,10.93023255813955,5.530646872291598
meeting_room,jump,68.51966089466089,77.21518987341773,71.57392398532332,63.35264066321831,78.48101265822785,69.64959010088546,79.0,0.3100668489933014,0.34216277599334716,66.66875681759235,82.53164556962025,73.31149789458838,64.4852437381679,81.51898734177215,71.65483177820141,79.0,0.3282794654369354,0.3481926918029785,-1.8509040770685345,5.3164556962025245,1.7375739092650662,1.1326030749495857,3.0379746835442916,2.0052416773159507
meeting_room,lie_down,90.78670382620359,74.34782608695653,81.41886274310401,87.67556529760131,69.34782608695653,77.24677469955998,92.0,0.2785053700208664,0.313202378153801,83.68683345823486,79.34782608695653,81.40982938629998,83.65752996897358,76.30434782608695,79.6292402312189,92.0,0.2904399335384369,0.3127418518066406,-7.099870367968734,5.0,-0.009033356804039272,-4.018035328627732,6.956521739130423,2.382465531658923
meeting_room,pick_up,74.21304961378492,73.03030303030303,73.45535843819131,62.1090651551523,71.51515151515152,66.2944084879992,66.0,0.2751482158899307,0.3429295182228088,70.57101813585606,70.3030303030303,69.93669720461196,59.09909057819583,67.87878787878788,62.49210122684951,66.0,0.2814298212528229,0.3416628956794739,-3.642031477928853,-2.7272727272727337,-3.5186612335793512,-3.0099745769564734,-3.6363636363636402,-3.802307261149693
meeting_room,rotation,72.32681604648346,71.52173913043478,71.06500111881067,71.42163772178034,73.91304347826087,71.74899686117979,92.0,0.3238821804523468,0.3490181386470795,71.47494464916582,76.08695652173913,73.42991108106102,69.82707016960426,75.43478260869566,72.29543829543829,92.0,0.32970736622810365,0.3523820459842682,-0.8518713973176375,4.565217391304344,2.3649099622503513,-1.5945675521760876,1.5217391304347814,0.5464414342584973
meeting_room,sit_down,67.93739329386332,72.72727272727272,69.77996123006871,64.66399032232718,73.24675324675324,68.1490952157684,77.0,0.3110231101512909,0.35244722962379454,71.4973117685503,70.64935064935065,70.46631737963892,65.0327234845895,69.87012987012987,66.94107228625873,77.0,0.29423716962337493,0.3310006558895111,3.559918474686981,-2.077922077922068,0.6863561495702157,0.3687331622623162,-3.376623376623371,-1.2080229295096672
meeting_room,stand_up,66.99655745021434,67.41573033707866,66.57532871479154,65.34698124285862,71.23595505617978,67.73938142480048,89.0,0.3265172243118286,0.3662710189819336,70.5070972626276,63.59550561797753,66.82884397725145,69.95508293502783,62.69662921348315,65.86415673770306,89.0,0.2964246302843094,0.32973690032958985,3.5105398124132563,-3.8202247191011267,0.2535152624599135,4.608101692169214,-8.539325842696627,-1.875224687097429
meeting_room,walk,92.11238700998038,98.10526315789473,95.00742743416905,93.43562216341334,95.78947368421052,94.5892532478452,95.0,0.3133096158504486,0.31326025128364565,95.45588537304843,95.36842105263159,95.35443357993844,95.63876339330481,91.36842105263159,93.43415593491798,95.0,0.2850761353969574,0.2889828383922577,3.3434983630680506,-2.736842105263136,0.3470061457693987,2.2031412298914717,-4.421052631578931,-1.155097312927225
meeting_room,wave,76.9425154011348,69.76744186046511,72.48745212868535,75.33657908961274,70.23255813953489,72.00845552177898,86.0,0.298515322804451,0.33863815665245056,74.52067857603376,77.20930232558139,75.57580691535671,74.1365333725505,76.74418604651163,74.95527960026163,86.0,0.3320436060428619,0.3577441871166229,-2.421836825101039,7.441860465116278,3.08835478667136,-1.2000457170622383,6.5116279069767415,2.946824078482649
