model,environment,seed,activity,direct_precision,direct_recall,direct_f1,slot_precision,slot_recall,slot_f1,support,direct_mean_probability,slot_mean_probability
baseline,meeting_room,41,stand_up,62.60869565217392,80.89887640449437,70.58823529411765,61.15702479338842,83.14606741573034,70.47619047619048,89,0.39101412892341614,0.413248211145401
baseline,meeting_room,42,walk,92.15686274509804,98.94736842105263,95.43147208121827,92.85714285714286,95.78947368421052,94.30051813471503,95,0.3365321159362793,0.34502974152565
baseline,meeting_room,42,rotation,75.64102564102564,64.13043478260869,69.41176470588235,72.94117647058823,67.3913043478261,70.05649717514125,92,0.33052435517311096,0.3505997657775879
baseline,meeting_room,42,jump,75.0,64.55696202531645,69.38775510204081,67.94871794871796,67.08860759493672,67.51592356687898,79,0.28191447257995605,0.32624176144599915
baseline,meeting_room,42,wave,76.81159420289855,61.627906976744185,68.38709677419355,83.60655737704919,59.30232558139535,69.38775510204081,86,0.29533013701438904,0.33583787083625793
baseline,meeting_room,42,lie_down,89.1891891891892,71.73913043478261,79.51807228915662,87.32394366197182,67.3913043478261,76.07361963190185,92,0.31231290102005005,0.3483811914920807
baseline,meeting_room,42,pick_up,73.52941176470588,75.75757575757575,74.6268656716418,65.67164179104478,66.66666666666666,66.16541353383458,66,0.3155798017978668,0.3766511082649231
baseline,meeting_room,42,sit_down,78.125,64.93506493506493,70.92198581560284,68.11594202898551,61.038961038961034,64.38356164383562,77,0.2886509299278259,0.35774093866348267
baseline,meeting_room,42,stand_up,68.6046511627907,66.29213483146067,67.42857142857143,69.76744186046511,67.41573033707866,68.57142857142857,89,0.3539474904537201,0.3955540657043457
baseline,meeting_room,43,walk,91.2621359223301,98.94736842105263,94.94949494949495,94.84536082474226,96.84210526315789,95.83333333333334,95,0.3337414264678955,0.33838075399398804
baseline,meeting_room,43,rotation,70.70707070707071,76.08695652173914,73.29842931937172,70.0,76.08695652173914,72.91666666666666,92,0.34249866008758545,0.366973876953125
baseline,meeting_room,43,jump,78.125,63.29113924050633,69.93006993006993,66.27906976744185,72.15189873417721,69.0909090909091,79,0.263347327709198,0.3314777612686157
baseline,meeting_room,43,wave,80.0,69.76744186046511,74.53416149068323,77.21518987341773,70.93023255813954,73.93939393939394,86,0.2980312407016754,0.3523024618625641
baseline,meeting_room,43,lie_down,89.1566265060241,80.43478260869566,84.57142857142857,87.01298701298701,72.82608695652173,79.28994082840237,92,0.3142780065536499,0.36671119928359985
baseline,meeting_room,43,pick_up,70.58823529411765,72.72727272727273,71.64179104477611,56.470588235294116,72.72727272727273,63.576158940397356,66,0.30484315752983093,0.3795880675315857
baseline,meeting_room,43,sit_down,60.396039603960396,79.22077922077922,68.53932584269663,58.18181818181818,83.11688311688312,68.44919786096256,77,0.3697269856929779,0.41495397686958313
baseline,meeting_room,43,stand_up,60.952380952380956,71.91011235955057,65.97938144329896,58.92857142857143,74.15730337078652,65.67164179104478,89,0.3656448721885681,0.4042443037033081
baseline,empty_room,39,walk,93.13725490196079,100.0,96.44670050761421,93.13725490196079,100.0,96.44670050761421,95,0.2898481786251068,0.2967718243598938
baseline,empty_room,39,rotation,60.15625,83.69565217391305,70.0,59.25925925925925,86.95652173913044,70.48458149779736,92,0.3755582273006439,0.3736973702907562
baseline,empty_room,39,jump,67.3076923076923,88.60759493670885,76.50273224043715,61.53846153846154,81.0126582278481,69.94535519125684,79,0.31562191247940063,0.3144206702709198
baseline,empty_room,39,wave,61.86440677966102,84.88372093023256,71.56862745098039,63.10679611650486,75.5813953488372,68.78306878306879,86,0.3609590530395508,0.34284862875938416
baseline,empty_room,39,lie_down,70.79646017699115,86.95652173913044,78.04878048780488,68.18181818181817,81.52173913043478,74.25742574257426,92,0.34673944115638733,0.359248548746109
baseline,empty_room,39,pick_up,59.523809523809526,75.75757575757575,66.66666666666666,55.55555555555556,68.18181818181817,61.224489795918366,66,0.2677466869354248,0.2902701199054718
baseline,empty_room,39,sit_down,62.637362637362635,74.02597402597402,67.85714285714286,65.85365853658537,70.12987012987013,67.9245283018868,77,0.2800064980983734,0.27527356147766113
baseline,empty_room,39,stand_up,71.23287671232876,58.42696629213483,64.19753086419753,72.72727272727273,53.93258426966292,61.935483870967744,89,0.222636416554451,0.2227744311094284
baseline,empty_room,40,walk,96.84210526315789,96.84210526315789,96.84210526315789,95.55555555555556,90.52631578947368,92.97297297297298,95,0.26787734031677246,0.2685930132865906
baseline,empty_room,40,rotation,68.88888888888889,67.3913043478261,68.13186813186813,68.31683168316832,75.0,71.50259067357513,92,0.28862956166267395,0.31984686851501465
baseline,empty_room,40,jump,58.97435897435898,87.34177215189874,70.40816326530613,56.19834710743802,86.07594936708861,68.0,79,0.34989315271377563,0.3552074134349823
baseline,empty_room,40,wave,57.14285714285714,88.37209302325581,69.40639269406392,58.19672131147541,82.55813953488372,68.26923076923077,86,0.40831804275512695,0.3947678506374359
baseline,empty_room,40,lie_down,78.65168539325843,76.08695652173914,77.34806629834254,79.06976744186046,73.91304347826086,76.40449438202246,92,0.2958950698375702,0.3107829689979553
baseline,empty_room,40,pick_up,81.53846153846153,80.3030303030303,80.91603053435115,68.35443037974683,81.81818181818183,74.48275862068967,66,0.24675190448760986,0.302004337310791
baseline,empty_room,40,sit_down,62.5,84.4155844155844,71.8232044198895,62.92134831460674,72.72727272727273,67.46987951807229,77,0.31733039021492004,0.31888192892074585
baseline,empty_room,40,stand_up,84.31372549019608,48.31460674157304,61.42857142857143,85.1063829787234,44.9438202247191,58.82352941176471,89,0.1770559698343277,0.19940896332263947
baseline,empty_room,41,walk,84.070796460177,100.0,91.34615384615384,86.79245283018868,96.84210526315789,91.54228855721394,95,0.34246885776519775,0.3253727853298187
baseline,empty_room,41,rotation,81.25,56.52173913043478,66.66666666666666,78.08219178082192,61.95652173913043,69.0909090909091,92,0.24421198666095734,0.2692917287349701
baseline,empty_room,41,jump,65.0,65.82278481012658,65.40880503144653,67.56756756756756,63.29113924050633,65.359477124183,79,0.26207906007766724,0.25844839215278625
baseline,empty_room,41,wave,76.74418604651163,76.74418604651163,76.74418604651163,73.97260273972603,62.7906976744186,67.9245283018868,86,0.28366565704345703,0.27876409888267517
baseline,empty_room,41,lie_down,71.42857142857143,86.95652173913044,78.43137254901961,70.47619047619048,80.43478260869566,75.1269035532995,92,0.35470208525657654,0.3572927713394165
baseline,empty_room,41,pick_up,65.9090909090909,87.87878787878788,75.32467532467533,59.77011494252874,78.78787878787878,67.97385620915033,66,0.3112204372882843,0.3344767987728119
baseline,empty_room,41,sit_down,57.54716981132076,79.22077922077922,66.66666666666666,61.61616161616161,79.22077922077922,69.31818181818183,77,0.34569066762924194,0.3329484462738037
baseline,empty_room,41,stand_up,70.96774193548387,49.43820224719101,58.27814569536424,77.35849056603774,46.06741573033708,57.74647887323944,89,0.2121448814868927,0.2227047234773636
baseline,empty_room,42,walk,94.05940594059405,100.0,96.93877551020408,95.78947368421052,95.78947368421052,95.78947368421052,95,0.30102694034576416,0.2910082936286926
baseline,empty_room,42,rotation,73.91304347826086,73.91304347826086,73.91304347826086,70.0,68.47826086956522,69.23076923076923,92,0.3189534544944763,0.3259010910987854
baseline,empty_room,42,jump,73.33333333333333,69.62025316455697,71.42857142857143,69.56521739130434,60.75949367088608,64.86486486486487,79,0.26141494512557983,0.2763631343841553
